"Source:","D:\Projects\Bose-USB-C\bose-usb-c\bose-usb-c.sch"
"Date:","16/11/2020 17:57:24"
"Tool:","Eeschema (5.1.6)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","37"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, ","2","C_Small","C_Small","Capacitor_SMD:C_0402_1005Metric","Unpolarized capacitor, small symbol",""
"D1, D2, D3, D4, ","4","LED","LED","LED_SMD:LED_0603_1608Metric","Light emitting diode",""
"D5, ","1","BAT54CW","BAT54CW","Package_TO_SOT_SMD:SOT-323_SC-70","Dual schottky barrier diode, common cathode, SOT-323",""
"FB1, ","1","330R @ 100MHz","Ferrite_Bead_Small","Fuse:Fuse_0402_1005Metric","Ferrite bead, small symbol",""
"H1, H2, ","2","MountingHole","MountingHole","MountingHole:MountingHole_2.1mm","Mounting Hole without connection",""
"J1, ","1","502426-2030","Conn_02x10_Odd_Even","Connector_Molex:Molex_SlimStack_502426-2010_2x10_P0.40mm_Vertical","Generic connector, double row, 02x10, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, ","1","TYPE-C-31-M-12","USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","USB 2.0-only Type-C Receptacle connector",""
"J3, ","1","51281-0594","Conn_01x05","Connector_FFC-FPC:TE_0-1734839-5_1x05-1MP_P0.5mm_Horizontal","Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q1, ","1","Q_NPN_BCE","Q_NPN_BEC","Package_TO_SOT_SMD:SOT-723","NPN transistor, base/emitter/collector",""
"R1, R2, R3, R4, R17, R18, R19, ","7","R","R","Resistor_SMD:R_0402_1005Metric","Resistor",""
"R5, R21, ","2","*0R","R","Resistor_SMD:R_0402_1005Metric","Resistor",""
"R6, R20, ","2","10k","R","Resistor_SMD:R_0402_1005Metric","Resistor",""
"R7, ","1","7k5","R","Resistor_SMD:R_0402_1005Metric","Resistor",""
"R8, ","1","4k","R","Resistor_SMD:R_0402_1005Metric","Resistor",""
"R9, ","1","1k2","R","Resistor_SMD:R_0402_1005Metric","Resistor",""
"R10, ","1","500R","R","Resistor_SMD:R_0402_1005Metric","Resistor",""
"R11, R14, R15, R16, R22, ","5","1k","R","Resistor_SMD:R_0402_1005Metric","Resistor",""
"R12, R13, ","2","5k1","R","Resistor_SMD:R_0402_1005Metric","Resistor",""
"U1, ","1","TPS25200","LDK130PU33R_DFN6","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","300mA low dropout linear regulator, low quiescent current very, low noise, shutdown pin, fixed 3.3V positive output, DFN-6",""
